condition,task,task_length,DP,ACT,SmolVLA,X-VLA,Pi0.5,GR00T,FastWAM,unit
Lighting-OOD,FC000,short,0,54,0,0,0,68,0,percent_0_to_100
Lighting-OOD,FC001,short,0,0,0,82,0,98,0,percent_0_to_100
Lighting-OOD,FC002,short,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,FC003,short,0,0,0,0,0,4,0,percent_0_to_100
Lighting-OOD,FC004,long,0,0,0,58,0,0,0,percent_0_to_100
Lighting-OOD,FC005,short,0,0,0,12,0,72,0,percent_0_to_100
Lighting-OOD,FC006,long,0,0,8,0,0,42,0,percent_0_to_100
Lighting-OOD,FC007,short,0,0,0,80,0,4,0,percent_0_to_100
Lighting-OOD,FC008,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,FC009,short,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HRI000,short,0,2,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HRI001,short,0,36,0,10,0,0,0,percent_0_to_100
Lighting-OOD,HRI002,short,0,14,0,36,0,0,0,percent_0_to_100
Lighting-OOD,HRI003,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HRI004,long,6,28,26,30,22,0,36,percent_0_to_100
Lighting-OOD,HRI005,long,0,0,4,4,2,0,0,percent_0_to_100
Lighting-OOD,HRI006,short,0,0,10,8,0,4,0,percent_0_to_100
Lighting-OOD,HRI007,long,0,24,24,40,14,10,4,percent_0_to_100
Lighting-OOD,HRI008,short,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HRI009,long,6,14,18,28,0,26,0,percent_0_to_100
Lighting-OOD,HT000,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HT001,short,0,42,44,76,8,78,0,percent_0_to_100
Lighting-OOD,HT002,short,0,32,0,28,6,78,0,percent_0_to_100
Lighting-OOD,HT003,short,0,0,2,0,0,4,0,percent_0_to_100
Lighting-OOD,HT004,short,0,0,0,4,0,0,0,percent_0_to_100
Lighting-OOD,HT005,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HT006,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HT007,short,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HT008,long,0,0,0,0,0,0,0,percent_0_to_100
Lighting-OOD,HT009,long,0,0,0,4,0,0,0,percent_0_to_100
Speed-OOD,CM000,short,0,0,0,0,0,0,0,percent_0_to_100
Speed-OOD,CM001,short,98,10,88,100,72,36,2,percent_0_to_100
Speed-OOD,CM002,short,0,8,2,0,0,0,0,percent_0_to_100
Speed-OOD,CM003,short,50,60,0,50,34,58,0,percent_0_to_100
Speed-OOD,CM004,short,42,0,8,12,4,0,0,percent_0_to_100
Speed-OOD,CM005,long,0,0,0,0,0,0,0,percent_0_to_100
